1 #anatomical sites
2 #samples
9 #characters
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f-	f+
0	R1	0	P	0	v0	1.000000	1.000000
0	R1	0	P	1	v1	0.051136	0.385965
0	R1	0	P	2	v2	0.028958	0.125000
0	R1	0	P	3	v3	0.029611	0.111842
0	R1	0	P	4	v4	0.000000	0.001656
0	R1	0	P	5	v5	0.025606	0.132530
0	R1	0	P	6	v6	0.021595	0.058824
0	R1	0	P	7	v7	0.025797	0.076667
0	R1	0	P	8	v8	0.021438	0.050667
1	R2	0	P	0	v0	1.000000	1.000000
1	R2	0	P	1	v1	0.051282	0.255708
1	R2	0	P	2	v2	0.000000	0.001412
1	R2	0	P	3	v3	0.015699	0.158879
1	R2	0	P	4	v4	0.025758	0.055944
1	R2	0	P	5	v5	0.000000	0.001761
1	R2	0	P	6	v6	0.014706	0.078534
1	R2	0	P	7	v7	0.004016	0.054113
1	R2	0	P	8	v8	0.000000	0.000000
